doc_type,invoice_number,subledger_amount,xoro_gl_amount,diff
AR,PT-I016957,48.00,56.73,-8.73
AR,ROF ECOM-I016771,23.80,31.61,-7.81
AR,ROF ECOM-I014694,76.80,86.85,-10.05
AR,ROF ECOM-I014583,18.90,25.01,-6.11
AR,ROF ECOM-I015493,22.20,59.25,-37.05
AR,PT-I015224,48.00,59.64,-11.64
AR,ROF-I014874,166.10,326.70,-160.60
AR,PT-I014973,27.50,38.57,-11.07
AR,ROF ECOM-I014754,31.00,43.09,-12.09
AR,ROF ECOM-I007553,61.20,76.98,-15.78
AR,ROF ECOM-I006866,40.80,33.72,7.08
AR,ROF ECOM-I014673,58.40,65.65,-7.25
AR,ROF ECOM-I014544,22.60,35.81,-13.21
AR,ROF ECOM-I015743,31.90,42.83,-10.93
AR,PT-I006933,32.97,40.41,-7.44
AR,ROF ECOM-I014758,58.40,146.00,-87.60
AR,ROF ECOM-I014505,31.00,34.04,-3.04
AR,ROF ECOM-I015484,22.50,58.21,-35.71
AR,ROF ECOM-I014992,141.50,135.63,5.87
AR,ROF ECOM-I016794,107.20,131.99,-24.79
AR,ROF ECOM-I006946,23.70,27.66,-3.96
AR,ROF ECOM-I014515,29.20,71.15,-41.95
AR,PT-I014810,312.60,295.77,16.83
AR,ROF ECOM-I016987,96.00,111.41,-15.41
AR,ROF ECOM-I008416,23.70,25.36,-1.66
AR,ROF ECOM-I015308,31.00,36.24,-5.24
AR,ROF ECOM-I016993,122.20,120.91,1.29
AR,PT-I017141,56.00,67.07,-11.07
AR,ROF ECOM-I015563,58.40,53.20,5.20
AR,PT-I014489,46.75,57.11,-10.36
AR,ROF ECOM-I017026,58.40,79.26,-20.86
AR,ROF ECOM-I014751,31.00,42.85,-11.85
AR,ROF ECOM-I015271,31.00,76.32,-45.32
AR,ROF ECOM-I014762,28.90,39.46,-10.56
AR,ROF ECOM-I014666,25.60,36.67,-11.07
AR,PT-I014488,22.92,56.92,-34.00
AR,ROF-I015531,29185.20,14592.60,14592.60
AR,PT-I014590,48.00,55.56,-7.56
AR,ROF-I015075,8.90,19.00,-10.10
AR,PT-I016954,42.00,54.54,-12.54
AR,ROF-I015354,8.90,18.70,-9.80
AR,ROF ECOM-I014744,25.60,34.59,-8.99
AR,ROF ECOM-I014513,29.20,53.82,-24.62
AR,ROF ECOM-I145879,29.25,37.96,-8.71
AR,ROF ECOM-I012028,59.00,72.21,-13.21
AR,ROF ECOM-I141210,33.20,38.87,-5.67
AR,ROF ECOM-I005669,33.90,37.97,-4.07
AR,ROF ECOM-I145197,23.40,34.90,-11.50
AR,ROF-I014885,87.60,178.20,-90.60
